date,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count,NFLX_Returns
2018-05-23,0.64,7.247,461.484,0.013,-273927000.0,0.037,25,683,1
2018-05-24,0.64,7.343,461.484,0.013,-273927000.0,-0.026,-22,839,1
2018-05-25,0.64,7.385,461.484,0.013,-273927000.0,-0.026,-14,533,1
2018-05-29,0.64,7.352,461.484,0.013,-273927000.0,-0.076,-30,394,0
2018-05-30,0.64,7.432,461.484,0.013,-273927000.0,-0.108,-34,316,1
2018-05-31,0.64,7.391,461.484,0.013,-273927000.0,-0.112,-33,295,0
2018-06-01,0.64,7.566,461.484,0.013,-273927000.0,0.034,12,351,1
2018-06-04,0.64,7.606,461.484,0.013,-273927000.0,-0.07,-27,383,1
2018-06-05,0.64,7.69,461.484,0.013,-273927000.0,-0.014,-7,487,1
2018-06-06,0.64,7.724,461.484,0.013,-273927000.0,-0.007,-2,292,1
2018-06-07,0.64,7.597,461.484,0.013,-273927000.0,-0.04,-13,321,0
2018-06-08,0.64,7.58,461.484,0.013,-273927000.0,-0.012,-3,261,0
2018-06-11,0.64,7.598,461.484,0.013,-273927000.0,-0.09,-22,245,1
2018-06-12,0.64,7.648,461.484,0.013,-273927000.0,-0.081,-23,285,1
2018-06-13,0.64,7.987,461.484,0.013,-273927000.0,-0.063,-59,936,1
2018-06-14,0.64,8.259,461.484,0.013,-273927000.0,-0.064,-56,874,1
2018-06-15,0.64,8.24,461.484,0.013,-273927000.0,-0.013,-8,620,0
2018-06-18,0.64,8.207,461.484,0.013,-273927000.0,-0.044,-12,273,0
2018-06-19,0.64,8.513,461.484,0.013,-273927000.0,-0.025,-21,837,1
2018-06-20,0.64,8.761,461.484,0.013,-273927000.0,-0.085,-92,1080,1
2018-06-21,0.64,8.733,461.484,0.013,-273927000.0,-0.122,-125,1028,0
2018-06-22,0.64,8.642,461.484,0.013,-273927000.0,-0.183,-95,520,0
2018-06-25,0.64,8.082,461.484,0.013,-273927000.0,-0.12,-77,641,0
2018-06-26,0.64,8.396,461.484,0.013,-273927000.0,-0.095,-62,654,1
2018-06-27,0.64,8.207,461.484,0.013,-273927000.0,-0.136,-89,654,0
2018-06-28,0.64,8.312,461.484,0.013,-273927000.0,-0.136,-61,450,1
2018-06-29,0.64,8.229,461.484,0.013,-273927000.0,-0.101,-39,386,0
2018-07-02,0.85,8.37,460.506,0.018,-545562000.0,-0.075,-28,375,1
2018-07-03,0.85,8.209,460.506,0.018,-545562000.0,-0.041,-12,294,0
2018-07-05,0.85,8.375,460.506,0.018,-545562000.0,-0.044,-16,366,1
2018-07-06,0.85,8.582,460.506,0.018,-545562000.0,0.032,14,443,1
2018-07-09,0.85,8.807,460.506,0.018,-545562000.0,-0.023,-11,473,1
2018-07-10,0.85,8.737,460.506,0.018,-545562000.0,-0.054,-22,404,0
2018-07-11,0.85,8.801,460.506,0.018,-545562000.0,-0.078,-38,484,1
2018-07-12,0.85,8.692,460.506,0.018,-545562000.0,-0.072,-45,625,0
2018-07-13,0.85,8.32,460.506,0.018,-545562000.0,-0.142,-100,706,0
2018-07-16,0.85,8.419,460.506,0.018,-545562000.0,-0.154,-382,2487,1
2018-07-17,0.85,7.977,460.506,0.018,-545562000.0,-0.111,-311,2813,0
2018-07-18,0.85,7.886,460.506,0.018,-545562000.0,-0.051,-39,767,0
2018-07-19,0.85,7.657,460.506,0.018,-545562000.0,-0.117,-80,683,0
2018-07-20,0.85,7.59,460.506,0.018,-545562000.0,-0.096,-55,575,0
2018-07-23,0.85,7.624,460.506,0.018,-545562000.0,-0.045,-21,471,1
2018-07-24,0.85,7.511,460.506,0.018,-545562000.0,-0.119,-57,480,0
2018-07-25,0.85,7.628,460.506,0.018,-545562000.0,-0.083,-43,516,1
2018-07-26,0.85,7.633,460.506,0.018,-545562000.0,-0.108,-65,599,1
2018-07-27,0.85,7.467,460.506,0.018,-545562000.0,-0.103,-44,426,0
2018-07-30,0.85,7.041,460.506,0.018,-545562000.0,-0.126,-82,653,0
2018-07-31,0.85,7.094,460.506,0.018,-545562000.0,-0.092,-46,503,1
2018-08-01,0.85,7.113,460.506,0.018,-545562000.0,-0.073,-21,288,1
2018-08-02,0.85,7.242,460.506,0.018,-545562000.0,-0.027,-9,332,1
2018-08-03,0.85,7.212,460.506,0.018,-545562000.0,-0.125,-39,313,0
2018-08-06,0.85,7.377,460.506,0.018,-545562000.0,0.003,1,314,1
2018-08-07,0.85,7.396,460.506,0.018,-545562000.0,-0.024,-9,376,1
2018-08-08,0.85,7.307,460.506,0.018,-545562000.0,-0.095,-28,295,0
2018-08-09,0.85,7.344,460.506,0.018,-545562000.0,-0.008,-2,256,1
2018-08-10,0.85,7.271,460.506,0.018,-545562000.0,-0.06,-11,185,0
2018-08-13,0.85,7.175,460.506,0.018,-545562000.0,-0.067,-24,357,0
2018-08-14,0.85,7.095,460.506,0.018,-545562000.0,-0.116,-38,327,0
2018-08-15,0.85,6.861,460.506,0.018,-545562000.0,-0.125,-47,375,0
2018-08-16,0.85,6.778,460.506,0.018,-545562000.0,-0.116,-37,318,0
2018-08-17,0.85,6.659,460.506,0.018,-545562000.0,-0.153,-63,412,0
2018-08-20,0.85,6.889,460.506,0.018,-545562000.0,-0.02,-13,662,1
2018-08-21,0.85,7.106,460.506,0.018,-545562000.0,-0.01,-5,497,1
2018-08-22,0.85,7.241,460.506,0.018,-545562000.0,0.033,11,332,1
2018-08-23,0.85,7.13,460.506,0.018,-545562000.0,-0.041,-13,320,0
2018-08-24,0.85,7.543,460.506,0.018,-545562000.0,0.015,9,588,1
2018-08-27,0.85,7.664,460.506,0.018,-545562000.0,-0.015,-8,524,1
2018-08-28,0.85,7.746,460.506,0.018,-545562000.0,-0.025,-7,281,1
2018-08-29,0.85,7.737,460.506,0.018,-545562000.0,-0.038,-11,288,0
2018-08-30,0.85,7.799,460.506,0.018,-545562000.0,0.047,19,408,1
2018-08-31,0.85,7.729,460.506,0.018,-545562000.0,-0.019,-5,264,0
2018-09-04,0.85,7.643,460.506,0.018,-545562000.0,-0.074,-22,297,0
2018-09-05,0.85,7.172,460.506,0.018,-545562000.0,-0.096,-43,448,0
2018-09-06,0.85,7.283,460.506,0.018,-545562000.0,-0.053,-22,414,1
2018-09-07,0.85,7.33,460.506,0.018,-545562000.0,-0.041,-14,340,1
2018-09-10,0.85,7.324,460.506,0.018,-545562000.0,-0.04,-13,324,0
2018-09-11,0.85,7.482,460.506,0.018,-545562000.0,-0.009,-3,323,1
2018-09-12,0.85,7.777,460.506,0.018,-545562000.0,-0.03,-14,463,1
2018-09-13,0.85,7.739,460.506,0.018,-545562000.0,-0.025,-9,363,0
2018-09-14,0.85,7.664,460.506,0.018,-545562000.0,-0.096,-22,230,0
2018-09-17,0.85,7.365,460.506,0.018,-545562000.0,-0.115,-36,313,0
2018-09-18,0.85,7.729,460.506,0.018,-545562000.0,0.007,3,408,1
2018-09-19,0.85,7.714,460.506,0.018,-545562000.0,-0.048,-24,502,0
2018-09-20,0.85,7.68,460.506,0.018,-545562000.0,-0.046,-17,366,0
2018-09-21,0.85,7.593,460.506,0.018,-545562000.0,-0.016,-5,313,0
2018-09-24,0.85,7.77,460.506,0.018,-545562000.0,0.012,5,427,1
2018-09-25,0.85,7.766,460.506,0.018,-545562000.0,-0.012,-4,347,0
2018-09-26,0.85,7.944,460.506,0.018,-545562000.0,0.038,20,526,1
2018-09-27,0.85,8.003,460.506,0.018,-545562000.0,-0.03,-11,370,1
2018-09-28,0.85,7.865,460.506,0.018,-545562000.0,-0.059,-17,290,0
2018-10-01,0.89,8.018,420.371,0.019,-729744000.0,0.013,5,376,1
2018-10-02,0.89,7.928,420.371,0.019,-729744000.0,-0.053,-17,323,0
2018-10-03,0.89,7.926,420.371,0.019,-729744000.0,-0.069,-17,245,0
2018-10-04,0.89,7.645,420.371,0.019,-729744000.0,-0.09,-30,334,0
2018-10-05,0.89,7.386,420.371,0.019,-729744000.0,-0.121,-46,380,0
2018-10-08,0.89,7.339,420.371,0.019,-729744000.0,-0.006,-2,343,0
2018-10-09,0.89,7.478,420.371,0.019,-729744000.0,0.016,5,319,1
2018-10-10,0.89,6.851,420.371,0.019,-729744000.0,-0.131,-75,574,0
2018-10-11,0.89,6.75,420.371,0.019,-729744000.0,-0.104,-55,531,0
2018-10-12,0.89,7.138,420.371,0.019,-729744000.0,-0.01,-5,507,1
2018-10-15,0.89,7.003,420.371,0.019,-729744000.0,-0.047,-26,548,0
2018-10-16,0.89,7.282,420.371,0.019,-729744000.0,-0.032,-62,1917,1
2018-10-17,0.89,7.667,420.371,0.019,-729744000.0,-0.121,-226,1861,1
2018-10-18,0.89,7.288,420.371,0.019,-729744000.0,-0.142,-145,1018,0
2018-10-19,0.89,6.993,420.371,0.019,-729744000.0,-0.173,-139,804,0
2018-10-22,0.89,6.927,420.371,0.019,-729744000.0,-0.159,-114,719,0
2018-10-23,0.89,7.004,420.371,0.019,-729744000.0,-0.103,-52,507,1
2018-10-24,0.89,6.345,420.371,0.019,-729744000.0,-0.166,-95,572,0
2018-10-25,0.89,6.577,420.371,0.019,-729744000.0,-0.109,-47,431,1
2018-10-26,0.89,6.303,420.371,0.019,-729744000.0,-0.122,-60,490,0
2018-10-29,0.89,5.988,420.371,0.019,-729744000.0,-0.138,-81,586,0
2018-10-30,0.89,6.008,420.371,0.019,-729744000.0,-0.122,-64,526,1
2018-10-31,0.89,6.344,420.371,0.019,-729744000.0,-0.019,-9,485,1
2018-11-01,0.89,6.672,420.371,0.019,-729744000.0,-0.051,-24,474,1
2018-11-02,0.89,6.498,420.371,0.019,-729744000.0,-0.082,-30,366,0
2018-11-05,0.89,6.631,420.371,0.019,-729744000.0,-0.015,-5,336,1
2018-11-06,0.89,6.534,420.371,0.019,-729744000.0,-0.021,-7,327,0
2018-11-07,0.89,6.885,420.371,0.019,-729744000.0,-0.066,-27,412,1
2018-11-08,0.89,6.683,420.371,0.019,-729744000.0,-0.075,-31,414,0
2018-11-09,0.89,6.379,420.371,0.019,-729744000.0,-0.08,-36,451,0
2018-11-12,0.89,6.182,420.371,0.019,-729744000.0,-0.039,-12,311,0
2018-11-13,0.89,6.189,420.371,0.019,-729744000.0,-0.073,-22,302,1
2018-11-14,0.89,6.028,420.371,0.019,-729744000.0,-0.116,-52,450,0
2018-11-15,0.89,6.098,420.371,0.019,-729744000.0,-0.062,-19,304,1
2018-11-16,0.89,6.017,420.371,0.019,-729744000.0,-0.194,-47,242,0
2018-11-19,0.89,5.688,420.371,0.019,-729744000.0,-0.128,-59,459,0
2018-11-20,0.89,5.612,420.371,0.019,-729744000.0,-0.129,-75,581,0
2018-11-21,0.89,5.51,420.371,0.019,-729744000.0,-0.093,-36,388,0
2018-11-23,0.89,5.441,420.371,0.019,-729744000.0,-0.112,-28,250,0
2018-11-26,0.89,5.496,420.371,0.019,-729744000.0,-0.079,-27,340,1
2018-11-27,0.89,5.605,420.371,0.019,-729744000.0,-0.038,-14,373,1
2018-11-28,0.89,5.942,420.371,0.019,-729744000.0,-0.022,-10,465,1
2018-11-29,0.89,6.07,420.371,0.019,-729744000.0,-0.02,-8,395,1
2018-11-30,0.89,6.015,420.371,0.019,-729744000.0,-0.091,-28,307,0
2018-12-03,0.89,6.103,420.371,0.019,-729744000.0,-0.103,-38,370,1
2018-12-04,0.89,5.788,420.371,0.019,-729744000.0,-0.108,-36,332,0
2018-12-06,0.89,5.947,420.371,0.019,-729744000.0,-0.069,-27,390,1
2018-12-07,0.89,5.574,420.371,0.019,-729744000.0,-0.116,-34,293,0
2018-12-10,0.89,5.67,420.371,0.019,-729744000.0,-0.11,-31,283,1
2018-12-11,0.89,5.577,420.371,0.019,-729744000.0,-0.174,-54,311,0
2018-12-12,0.89,5.778,420.371,0.019,-729744000.0,-0.051,-23,453,1
2018-12-13,0.89,5.802,420.371,0.019,-729744000.0,-0.127,-35,276,1
2018-12-14,0.89,5.609,420.371,0.019,-729744000.0,-0.13,-37,284,0
2018-12-17,0.89,5.524,420.371,0.019,-729744000.0,-0.097,-30,308,0
2018-12-18,0.89,5.696,420.371,0.019,-729744000.0,-0.069,-28,404,1
2018-12-19,0.89,5.608,420.371,0.019,-729744000.0,-0.079,-34,431,0
2018-12-20,0.89,5.478,420.371,0.019,-729744000.0,-0.164,-82,499,0
2018-12-21,0.89,5.18,420.371,0.019,-729744000.0,-0.163,-74,454,0
2018-12-24,0.89,4.917,420.371,0.019,-729744000.0,-0.109,-33,303,0
2018-12-26,0.89,5.333,420.371,0.019,-729744000.0,-0.07,-23,330,1
2018-12-27,0.89,5.373,420.371,0.019,-729744000.0,-0.089,-31,349,1
2018-12-28,0.89,5.383,420.371,0.019,-729744000.0,-0.006,-2,310,1
2018-12-31,0.3,5.627,892.2,0.006,-1305192000.0,-0.03,-11,368,1
2019-01-02,0.3,5.627,892.2,0.006,-1305192000.0,-0.118,-67,566,0
2019-01-03,0.3,5.701,892.2,0.006,-1305192000.0,-0.123,-67,543,1
2019-01-04,0.3,6.255,892.2,0.006,-1305192000.0,0.015,11,715,1
2019-01-07,0.3,6.629,892.2,0.006,-1305192000.0,-0.028,-18,647,1
2019-01-08,0.3,6.733,892.2,0.006,-1305192000.0,-0.092,-59,638,1
2019-01-09,0.3,6.726,892.2,0.006,-1305192000.0,-0.049,-22,449,0
2019-01-10,0.3,6.825,892.2,0.006,-1305192000.0,-0.049,-34,688,1
2019-01-11,0.3,7.097,892.2,0.006,-1305192000.0,-0.044,-47,1064,1
2019-01-14,0.3,6.999,892.2,0.006,-1305192000.0,-0.088,-35,398,0
2019-01-15,0.3,7.455,892.2,0.006,-1305192000.0,-0.078,-112,1434,1
2019-01-16,0.3,7.387,892.2,0.006,-1305192000.0,-0.116,-93,803,0
2019-01-17,0.3,7.425,892.2,0.006,-1305192000.0,-0.12,-269,2244,1
2019-01-18,0.3,7.128,892.2,0.006,-1305192000.0,-0.09,-144,1609,0
2019-01-22,0.3,6.835,892.2,0.006,-1305192000.0,-0.105,-84,798,0
2019-01-23,0.3,6.769,892.2,0.006,-1305192000.0,-0.125,-71,568,0
2019-01-24,0.3,6.867,892.2,0.006,-1305192000.0,-0.07,-30,429,1
2019-01-25,0.3,7.106,892.2,0.006,-1305192000.0,-0.062,-24,388,1
2019-01-28,0.3,7.056,892.2,0.006,-1305192000.0,-0.068,-22,326,0
2019-01-29,0.3,6.914,892.2,0.006,-1305192000.0,-0.104,-37,357,0
2019-01-30,0.3,7.161,892.2,0.006,-1305192000.0,-0.083,-28,336,1
2019-01-31,0.3,7.137,892.2,0.006,-1305192000.0,-0.069,-28,404,0
2019-02-01,0.3,7.144,892.2,0.006,-1305192000.0,-0.086,-28,325,1
2019-02-04,0.3,7.386,892.2,0.006,-1305192000.0,-0.069,-36,523,1
2019-02-05,0.3,7.48,892.2,0.006,-1305192000.0,-0.055,-26,473,1
2019-02-06,0.3,7.404,892.2,0.006,-1305192000.0,-0.139,-50,360,0
2019-02-07,0.3,7.246,892.2,0.006,-1305192000.0,-0.113,-32,284,0
2019-02-08,0.3,7.306,892.2,0.006,-1305192000.0,-0.101,-34,336,1
2019-02-11,0.3,7.268,892.2,0.006,-1305192000.0,-0.068,-17,252,0
2019-02-12,0.3,7.567,892.2,0.006,-1305192000.0,-0.011,-6,526,1
2019-02-13,0.3,7.395,892.2,0.006,-1305192000.0,-0.057,-29,509,0
2019-02-14,0.3,7.548,892.2,0.006,-1305192000.0,-0.002,-1,441,1
2019-02-15,0.3,7.502,892.2,0.006,-1305192000.0,-0.094,-39,416,0
2019-02-19,0.3,7.608,892.2,0.006,-1305192000.0,-0.051,-23,448,1
2019-02-20,0.3,7.566,892.2,0.006,-1305192000.0,-0.096,-37,384,0
2019-02-21,0.3,7.504,892.2,0.006,-1305192000.0,-0.112,-35,313,0
2019-02-22,0.3,7.631,892.2,0.006,-1305192000.0,-0.083,-27,326,1
2019-02-25,0.3,7.65,892.2,0.006,-1305192000.0,-0.023,-9,390,1
2019-02-26,0.3,7.672,892.2,0.006,-1305192000.0,-0.091,-28,308,1
2019-02-27,0.3,7.628,892.2,0.006,-1305192000.0,-0.102,-31,303,0
2019-02-28,0.3,7.528,892.2,0.006,-1305192000.0,-0.176,-63,358,0
2019-03-01,0.3,7.511,892.2,0.006,-1305192000.0,-0.161,-50,310,0
2019-03-04,0.3,7.379,892.2,0.006,-1305192000.0,-0.161,-51,317,0
2019-03-05,0.3,7.448,892.2,0.006,-1305192000.0,-0.062,-22,358,1
2019-03-06,0.3,7.56,892.2,0.006,-1305192000.0,-0.028,-10,357,1
2019-03-07,0.3,7.412,892.2,0.006,-1305192000.0,-0.104,-37,355,0
