date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2018-05-23,344.72,10049100,323.828,314.27,80.623,5.605,4.41,0.64,7.246583981500946,461.484375,0.0134538574731973,-273927000.0,0.0366,25,683
2018-05-24,349.29,14758600,325.594,314.825,79.142,6.789,4.886,0.64,7.342652932520497,461.484375,0.0134538574731973,-273927000.0,-0.0262,-22,839
2018-05-25,351.29,7817400,327.57,315.429,77.248,7.799,5.468,0.64,7.384696237124238,461.484375,0.0134538574731973,-273927000.0,-0.0263,-14,533
2018-05-29,349.73,9717900,329.434,316.054,74.37,8.376,6.05,0.64,7.35190245953332,461.484375,0.0134538574731973,-273927000.0,-0.0761,-30,394
2018-05-30,353.54,5685500,331.446,316.856,74.587,9.038,6.647,0.64,7.431994954803448,461.484375,0.0134538574731973,-273927000.0,-0.1076,-34,316
2018-05-31,351.6,6921700,333.358,317.538,72.68,9.298,7.178,0.64,7.391212949337818,461.484375,0.0134538574731973,-273927000.0,-0.1119,-33,295
2018-06-01,359.93,7112300,335.77,318.407,81.17,10.06,7.754,0.64,7.566323313012403,461.484375,0.0134538574731973,-273927000.0,0.0342,12,351
2018-06-04,361.81,7682000,337.856,319.509,81.103,10.693,8.342,0.64,7.60584401933992,461.484375,0.0134538574731973,-273927000.0,-0.0705,-27,383
2018-06-05,365.8,8358000,339.832,320.806,86.005,11.385,8.95,0.64,7.689720412024386,461.484375,0.0134538574731973,-273927000.0,-0.0144,-7,487
2018-06-06,367.45,7712300,341.861,321.748,85.9,11.929,9.546,0.64,7.724406138322472,461.484375,0.0134538574731973,-273927000.0,-0.0068,-2,292
2018-06-07,361.4,8278000,343.416,322.962,81.319,11.737,9.984,0.64,7.597225141896152,461.484375,0.0134538574731973,-273927000.0,-0.0405,-13,321
2018-06-08,360.57,5225700,344.964,324.458,81.616,11.386,10.265,0.64,7.5797771704856,461.484375,0.0134538574731973,-273927000.0,-0.0115,-3,261
2018-06-11,361.45,4432400,346.713,325.78,79.169,11.052,10.422,0.64,7.598276224511246,461.484375,0.0134538574731973,-273927000.0,-0.0898,-22,245
2018-06-12,363.83,4291000,348.478,327.451,80.404,10.854,10.509,0.64,7.648307756989699,461.484375,0.0134538574731973,-273927000.0,-0.0807,-23,285
2018-06-13,379.93,18222800,351.168,329.376,81.454,11.86,10.779,0.64,7.986756359049822,461.484375,0.0134538574731973,-273927000.0,-0.063,-59,936
2018-06-14,392.87,14598300,354.403,331.455,83.867,13.544,11.332,0.64,8.258776539836031,461.484375,0.0134538574731973,-273927000.0,-0.0641,-56,874
2018-06-15,391.98,13588100,357.74,333.415,82.176,14.639,11.993,0.64,8.240067269287366,461.484375,0.0134538574731973,-273927000.0,-0.0129,-8,620
2018-06-18,390.4,6824800,361.052,335.446,82.15,15.204,12.635,0.64,8.20685305865041,461.484375,0.0134538574731973,-273927000.0,-0.044,-12,273
2018-06-19,404.98,16697100,364.71,337.747,84.747,16.636,13.436,0.64,8.513348749211689,461.484375,0.0134538574731973,-273927000.0,-0.0251,-21,837
