date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2018-05-23,344.72,10049100,323.828,314.27,80.623,5.605,4.41,0.64,461.484,7.247,0.013,-273927000.0,1
2018-05-24,349.29,14758600,325.594,314.825,79.142,6.789,4.886,0.64,461.484,7.343,0.013,-273927000.0,1
2018-05-25,351.29,7817400,327.57,315.429,77.248,7.799,5.468,0.64,461.484,7.385,0.013,-273927000.0,1
2018-05-29,349.73,9717900,329.434,316.054,74.37,8.376,6.05,0.64,461.484,7.352,0.013,-273927000.0,0
2018-05-30,353.54,5685500,331.446,316.856,74.587,9.038,6.647,0.64,461.484,7.432,0.013,-273927000.0,1
2018-05-31,351.6,6921700,333.358,317.538,72.68,9.298,7.178,0.64,461.484,7.391,0.013,-273927000.0,0
2018-06-01,359.93,7112300,335.77,318.407,81.17,10.06,7.754,0.64,461.484,7.566,0.013,-273927000.0,1
2018-06-04,361.81,7682000,337.856,319.509,81.103,10.693,8.342,0.64,461.484,7.606,0.013,-273927000.0,1
2018-06-05,365.8,8358000,339.832,320.806,86.005,11.385,8.95,0.64,461.484,7.69,0.013,-273927000.0,1
2018-06-06,367.45,7712300,341.861,321.748,85.9,11.929,9.546,0.64,461.484,7.724,0.013,-273927000.0,1
2018-06-07,361.4,8278000,343.416,322.962,81.319,11.737,9.984,0.64,461.484,7.597,0.013,-273927000.0,0
2018-06-08,360.57,5225700,344.964,324.458,81.616,11.386,10.265,0.64,461.484,7.58,0.013,-273927000.0,0
2018-06-11,361.45,4432400,346.713,325.78,79.169,11.052,10.422,0.64,461.484,7.598,0.013,-273927000.0,1
2018-06-12,363.83,4291000,348.478,327.451,80.404,10.854,10.509,0.64,461.484,7.648,0.013,-273927000.0,1
2018-06-13,379.93,18222800,351.168,329.376,81.454,11.86,10.779,0.64,461.484,7.987,0.013,-273927000.0,1
2018-06-14,392.87,14598300,354.403,331.455,83.867,13.544,11.332,0.64,461.484,8.259,0.013,-273927000.0,1
2018-06-15,391.98,13588100,357.74,333.415,82.176,14.639,11.993,0.64,461.484,8.24,0.013,-273927000.0,0
2018-06-18,390.4,6824800,361.052,335.446,82.15,15.204,12.635,0.64,461.484,8.207,0.013,-273927000.0,0
2018-06-19,404.98,16697100,364.71,337.747,84.747,16.636,13.436,0.64,461.484,8.513,0.013,-273927000.0,1
2018-06-20,416.76,16494600,368.966,340.121,88.85,18.509,14.45,0.64,461.484,8.761,0.013,-273927000.0,1
2018-06-21,415.44,18389900,372.502,342.356,86.116,19.659,15.492,0.64,461.484,8.733,0.013,-273927000.0,0
2018-06-22,411.09,10428600,375.592,344.393,81.064,19.99,16.392,0.64,461.484,8.642,0.013,-273927000.0,0
2018-06-25,384.48,22490900,377.252,345.85,59.162,17.898,16.693,0.64,461.484,8.082,0.013,-273927000.0,0
2018-06-26,399.39,15191200,379.735,347.682,63.863,17.245,16.803,0.64,461.484,8.396,0.013,-273927000.0,1
2018-06-27,390.39,16541400,381.578,348.768,62.268,15.819,16.606,0.64,461.484,8.207,0.013,-273927000.0,0
2018-06-28,395.42,12219900,383.768,349.986,64.242,14.922,16.27,0.64,461.484,8.312,0.013,-273927000.0,1
2018-06-29,391.43,9252500,385.344,351.161,61.948,13.732,15.762,0.64,461.484,8.229,0.013,-273927000.0,0
2018-07-02,398.18,8142500,387.162,352.569,63.229,13.181,15.246,0.85,460.506,8.37,0.018,-545562000.0,1
2018-07-03,390.52,5280300,388.398,354.006,54.362,11.988,14.594,0.85,460.506,8.209,0.018,-545562000.0,0
2018-07-05,398.39,8448900,389.945,355.833,52.373,11.544,13.984,0.85,460.506,8.375,0.018,-545562000.0,1
2018-07-06,408.25,8629600,392.288,357.883,56.493,11.852,13.558,0.85,460.506,8.582,0.018,-545562000.0,1
2018-07-09,418.97,11127500,395.208,359.983,60.626,12.813,13.409,0.85,460.506,8.807,0.018,-545562000.0,1
2018-07-10,415.63,9382900,397.916,362.06,54.323,13.153,13.358,0.85,460.506,8.737,0.018,-545562000.0,0
2018-07-11,418.65,9713900,400.658,364.184,50.826,13.511,13.388,0.85,460.506,8.801,0.018,-545562000.0,1
2018-07-12,413.5,12743300,402.336,366.188,49.18,13.227,13.356,0.85,460.506,8.692,0.018,-545562000.0,0
2018-07-13,395.8,15719000,402.482,367.837,44.191,11.441,12.973,0.85,460.506,8.32,0.018,-545562000.0,0
2018-07-16,400.48,22960000,402.908,369.613,57.294,10.285,12.436,0.85,460.506,8.419,0.018,-545562000.0,1
2018-07-17,379.48,58410400,402.362,370.8,41.401,7.587,11.466,0.85,460.506,7.977,0.018,-545562000.0,0
2018-07-18,375.13,21746300,400.869,371.778,43.134,5.04,10.181,0.85,460.506,7.886,0.018,-545562000.0,0
2018-07-19,364.23,16878700,398.242,372.525,36.67,2.117,8.568,0.85,460.506,7.657,0.018,-545562000.0,0
2018-07-20,361.05,15096700,395.523,373.14,36.925,-0.451,6.764,0.85,460.506,7.59,0.018,-545562000.0,0
2018-07-23,362.66,11505200,393.102,373.801,34.006,-2.329,4.946,0.85,460.506,7.624,0.018,-545562000.0,1
2018-07-24,357.32,12851500,391.744,374.418,34.731,-4.2,3.116,0.85,460.506,7.511,0.018,-545562000.0,0
2018-07-25,362.87,8467800,389.918,375.105,33.308,-5.175,1.458,0.85,460.506,7.628,0.018,-545562000.0,1
2018-07-26,363.09,6993700,388.552,375.844,26.664,-5.863,-0.006,0.85,460.506,7.633,0.018,-545562000.0,1
2018-07-27,355.21,8949500,386.542,376.384,16.056,-6.963,-1.397,0.85,460.506,7.467,0.018,-545562000.0,0
2018-07-30,334.96,18260700,383.718,376.579,13.606,-9.361,-2.99,0.85,460.506,7.041,0.018,-545562000.0,0
