date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2018-05-23,344.72,10049100,2733.29,3333160000,323.828,314.27,80.623,5.605,4.41,0.0366,25,683,1,0.0032484108017944,0.0362546348528705
2018-05-24,349.29,14758600,2727.76,3285750000,325.594,314.825,79.142,6.789,4.886,-0.0262,-22,839,1,-0.0020232028068736,0.0152803390333762
2018-05-25,351.29,7817400,2721.3301,3015260000,327.57,315.429,77.248,7.799,5.468,-0.0263,-14,533,1,-0.0023572088453529,0.0080831099590408
2018-05-29,349.73,9717900,2689.8601,3743310000,329.434,316.054,74.37,8.376,6.05,-0.0761,-30,394,0,-0.0115641979633416,0.0071234225356323
2018-05-30,353.54,5685500,2724.01,3566490000,331.446,316.856,74.587,9.038,6.647,-0.1076,-34,316,1,0.0126957903870168,-0.00180167206717
2018-05-31,351.6,6921700,2705.27,4241100000,333.358,317.538,72.68,9.298,7.178,-0.1119,-33,295,0,-0.0068795635845684,0.0013922071326818
2018-06-01,359.93,7112300,2734.6201,3694310000,335.77,318.407,81.17,10.06,7.754,0.0342,12,351,1,0.0108492313151737,0.0128424637929034
2018-06-04,361.81,7682000,2746.8701,3410090000,337.856,319.509,81.103,10.693,8.342,-0.0705,-27,383,1,0.0044795984641523,0.000743639387652
2018-06-05,365.8,8358000,2748.8,3523550000,339.832,320.806,86.005,11.385,8.95,-0.0144,-7,487,1,0.0007025814580747,0.0103253061072219
2018-06-06,367.45,7712300,2772.3501,3662780000,341.861,321.748,85.9,11.929,9.546,-0.0068,-2,292,1,0.008567411233993,-0.0040567496702972
2018-06-07,361.4,8278000,2770.3701,3742080000,343.416,322.962,81.319,11.737,9.984,-0.0405,-13,321,0,-0.0007141955123199,-0.0157506296339584
2018-06-08,360.57,5225700,2779.03,3138850000,344.964,324.458,81.616,11.386,10.265,-0.0115,-3,261,0,0.0031259000376882,-0.0054225242767584
2018-06-11,361.45,4432400,2782.0,3262130000,346.713,325.78,79.169,11.052,10.422,-0.0898,-22,245,1,0.0010687182218256,0.0013718619706473
2018-06-12,363.83,4291000,2786.8501,3435700000,348.478,327.451,80.404,10.854,10.509,-0.0807,-23,285,1,0.0017433860531992,0.0048412037932525
